,Marca,Modelo,Descrição,Valor,embedding_musical,categoria_musical,specs_musicais
17,DATREL,HDSD 700,"Cabo Mult Uso - toca 2 Caixas 15""  350 W ",794.22,CATEGORIA_MUSICAL: EQUIPAMENTO_AUDIO || CONTEXTO: equipamento som audio microfone cabo || MARCA: DATDL || MODELO: HDSD 700 || DESCRICAO_MUSICAL: CABO MULT USO - TOCA 2 CAIXAS 15 350 W,EQUIPAMENTO_AUDIO,{}
18,DATREL,AT8X2,"Caixa Ativa ( 4 ohms) 8"" 250 W bluetooth",828.32,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT8X2 || DESCRICAO_MUSICAL: CAIXA ATIVA ( 4 OHMS) 8 250 W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{}
19,DATREL,PA 3.000,Amplificador de potenciatoca 4 AF 12” - 100W   ,837.0,CATEGORIA_MUSICAL: EQUIPAMENTO_AMPLIFICACAO || CONTEXTO: equipamento som audio amplificador potencia || MARCA: DATDL || MODELO: PA 3 000 || DESCRICAO_MUSICAL: AMPLIFICACR DE POTENCIATOCA 4 AF 12 - 100W,EQUIPAMENTO_AMPLIFICACAO,{}
20,DATREL,AT 10.200,"Caixa Ativa 10"" 200W ",837.0,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT 10 200 || DESCRICAO_MUSICAL: CAIXA ATIVA 10 200W,EQUIPAMENTO_CAIXA_SOM,{}
21,DATREL,DA 15.300,"Caixa Passiva 15"" 300 W ",838.86,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: DATDL || MODELO: DA 15 300 || DESCRICAO_MUSICAL: CAIXA PASBVA 15 300 W,OUTROS,{}
22,DATREL,GUITAR 2X8,"Cubo de Guitarra 8""X2 100 W ",872.34,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: GUITAR 2X8 || ESPECIFICACOES_MUSICAIS: DIMENSAO_INSTRUMENTO: 8 2 || DESCRICAO_MUSICAL: CUBO DE GUITARRA 8 X2 100 W,INSTRUMENTO_CORDA,"{'DIMENSAO_INSTRUMENTO': ['8', '2']}"
23,DATREL,BAS100,"Cubo Baixo 10"" 10"" 100W ",872.96,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: BAS100 || DESCRICAO_MUSICAL: CUBO BAIXO 10 10 100W,INSTRUMENTO_CORDA,{}
24,DATREL,PA 5.000,AmplifiCador de potencia toca 4 AF 12” - 150W   ,892.18,CATEGORIA_MUSICAL: EQUIPAMENTO_AMPLIFICACAO || CONTEXTO: equipamento som audio amplificador potencia || MARCA: DATDL || MODELO: PA 5 000 || DESCRICAO_MUSICAL: AMPLIFICACR DE POTENCIA TOCA 4 AF 12 - 150W,EQUIPAMENTO_AMPLIFICACAO,{}
25,DATREL,GUITAR 1X12,"Cubo de Guitarra 12"" 150 W ",908.3,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: GUITAR 1X12 || DESCRICAO_MUSICAL: CUBO DE GUITARRA 12 150 W,INSTRUMENTO_CORDA,{}
26,DATREL,MP 15.300,"Monitor passivo 15"" 300 W ",911.4,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: MP 15 300 || DESCRICAO_MUSICAL: MONITOR PASBVO 15 300 W,EQUIPAMENTO_CAIXA_SOM,{}
27,DATREL,MA 12.250,"Monitor ativo 12"" 250 W ",937.4399999999999,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: MA 12 250 || DESCRICAO_MUSICAL: MONITOR ATIVO 12 250 W,EQUIPAMENTO_CAIXA_SOM,{}
